keys,en,pt_BR
ACT_7_TITLE,ACT SEVEN: An Ending,ATO SETE: Um Final
ACT_7_1.1,"For the next few days, I felt my health decline further and further.","Durante os próximos dias, eu senti minha saúde piorar cada vez mais."
ACT_7_1.2,"I was barely getting any sleep, even revisiting brothels didn't work.","Eu quase não dormia, e até mesmo revisitar bordéis não ajudava."
ACT_7_1.3,"The girl I talked to and gifted that locket to, didn’t want to see me.",A garota com quem eu falara e dera aquele broche não queria mais me ver.
ACT_7_1.4,That much was clear.,Isso estava claro.
ACT_7_1.5,"She would rather take different men to her room, and the entire time as she took them away, she stared at me sideways with her red eyes.","Ela preferia levar homens diferentes ao seu quarto, e o tempo inteiro enquanto os levava para longe, me encarava com olhos vermelhos."
ACT_7_1.6,"At first I was confused if she was regularly crying or doing a lot more drugs,","No começo eu não sabia se ela estava regularmente chorando ou usando muito mais drogas,"
ACT_7_1.7,"however,","entretanto,"
ACT_7_1.8,"after two or three times this happened, I realized...",depois de duas ou três vezes que isso aconteceu eu percebi…
ACT_7_2.1,...it was a bit of both.,… eram ambas as opções.
ACT_7_3.1,"The only thing new I noticed about her the last time I visited the brothel,","A única coisa nova que eu notara sobre ela durante a minha última visita ao bordel,"
ACT_7_3.2,"was when she was wearing a black backless maxi dress (clearly a courtesy of some regular customer) and there was a tattoo of [i]Conferri[/i] god,","foi quando ela vestia um vestido preto com as costas abertas (claramente cortesia de algum cliente regular) e havia uma tatuagem de uma deusa [i]Conferri[/i],"
ACT_7_3.3,Augmera,Augmera
ACT_7_3.4,(the goddess of prosperous marriage),(a deusa do casamento próspero)
ACT_7_3.5,"on the back of her shoulder,","atrás de seu ombro,"
ACT_7_3.6,"at the bottom of which was another tattoo, that of the planet Venus.","e abaixo dela, outra tatuagem, do planeta Vênus."
ACT_7_3.7,I funnily never noticed these tattoos when I was with her in bed.,Curiosamente eu nunca reparara nessas tatuagens quando estava na cama com ela.
ACT_7_3.8,"I was always so focused on the front,","Eu estava sempre tão focado na frente,"
ACT_7_3.9,"so focused on crying,","tão focado em chorar,"
ACT_7_3.10,that I never even checked the back.,que eu nunca olhei as costas.
ACT_7_3.11,If I did then I would've get that...,"Se eu o tivesse feito, teria percebido que…"
ACT_7_4.1,...she was married once.,… ela já fora casada.
ACT_7_5.1,"Seeing that I realized something I already somewhat knew and even spoke about before,","Ao ver isso eu percebi algo que eu meio que já sabia e já até falara sobre anteriormente,"
ACT_7_5.2,"that my confessions,","que minhas confissões,"
ACT_7_5.3,they had meant nothing.,elas não significaram nada.
ACT_7_5.4,For they changed nothing about what I did every day.,Pois elas não mudavam em nada o que eu fazia todos os dias.
ACT_7_5.5,"It had not cleansed my soul,","Isso não havia limpado minha alma,"
ACT_7_5.6,it had only solidified its dirt further and further.,apenas solidificou sua sujeira cada vez mais fundo.
ACT_7_5.7,"You can at once forgive a man who didn't know what he was doing was wrong,","Você pode perdoar um homem que não sabia que o que estava fazendo era errado,"
ACT_7_5.8,but there was no saving the man who did things knowing they were wrong.,mas não há como salvar o homem que fazia coisas sabidamente erradas.
ACT_7_5.9,I was worse than what some called the lowest scums of the earth.,Eu era pior do que o que alguns chamavam de piores vermes da terra.
ACT_7_6.1,I was a [color=red]monster[/color].,Eu era um [color=red]monstro[/color].
ACT_7_7.1,"On the fourth day,","No quarto dia,"
ACT_7_7.2,I got a call from the higher office.,recebi uma ligação do escritório superior.
