keys,en,pt_BR
ACT_6_TITLE,ACT SIX: Dreams Of A Broken Spring,ATO SEIS: Sonhos de uma Mola Quebrada
ACT_6_1.1,"'You know what,","'Quer saber,"
ACT_6_1.2,"I am surprised that you managed to hold onto that mask of yours without ever breaking out into tears on what you became, unwillingly still...","estou surpresa que você tenha conseguido manter aquela máscara sua sem começar a chorar pelo que você se tornou, mesmo que de forma "
ACT_6_1.3,"I-I can't imagine acting like that 24 hours by 7, and not breaking apart at some point,'","E-eu não consigo imaginar agir assim 24 horas por dia, 7 dias por semana, e não desmoronar em algum momento,’"
ACT_6_1.4,"she was putting back her clothes, and there was a lit cigarette in her mouth.","ela estava colocando suas roupas, e havia um cigarro aceso em sua boca."
ACT_6_1.5,"I was sitting by the bed, my back was a little bent, but my legs were straight enough.","Eu estava sentado na cama, minhas costas um pouco curvadas, mas minhas pernas estavam retas o suficiente."
ACT_6_1.6,"'You know, before Gigi jumped from that window, she once told me about you,'","'Sabe, antes da Gigi pular daquela janela, ela uma vez me contou sobre você,’"
ACT_6_1.7,"without even removing the cigarette, she let the smoke escape from her mouth by the sideways of her lip like an amateur puppeteer,","sem nem mesmo remover o cigarro, ela deixar a fumaça escapar de sua boca pelo canto dos lábios como uma ventríloquo amadora,"
ACT_6_1.8,"'she told me that one year ago, the last time you took her comfort, you cannot even finish.","'Ela me contou que há um ano atrás, na última vez que você recebeu seu conforto, você nem conseguiu terminar."
ACT_6_1.9,"You stopped midway and started crying, and then told her to stab you with the ice-pick that was there on the champagne table.","Você parou na metade e começou a chorar, e então a disse para te furar com um picador de gelo que havia na mesa do champagne."
ACT_6_1.10,She said that...',Ela disse que…’
ACT_6_2.1,"Before she could continue, I interrupted her by completing her words,","Antes que ela pudesse continuar, eu a interrompi completando sua frase,"
ACT_6_2.2,'...that I brought that ice-pick so close to my throat that she was convinced that she was going to witness me killing myself...','… que eu trouxera o picador de gelo tão próximo da minha garganta que ela estava convencida de que ia testemunhar o meu suicídio…’
ACT_6_3.1,"'...then and there,'","'… ali naquele momento,’"
ACT_6_3.2,"I tried to make it sound like I was chuckling,","Eu tentei fazer soar como se eu estivesse rindo,"
ACT_6_3.3,but all that escaped from my mouth was a simple 'tsk'.,mas tudo o que escapou da minha boca foi um simples ‘tsk’.
ACT_6_3.4,"She was properly dressed by now, and came out of the bathroom and sat by the bedside.","Ela estava propriamente vestida, e saiu do banheiro e sentou-se na cama."
ACT_6_3.5,"We still had forty minutes left, I always booked them for 90 minutes, never had to even bargain for price because I wasn't the one paying, and the man who ran this entire operation feared me, even though I never said a single word to him.","Ainda tínhamos quarenta minutos sobrando, eu sempre as reservava por 90 minutos, nunca nem mesmo precisei barganhar pelo preço pois não era eu quem estava pagando, e o homem que organizava toda essa operação me temia, mesmo eu nunca tendo dito uma única palavra a ele."
ACT_6_3.6,I booked them for 90 minutes because I needed sleep.,Eu as reservava por 90 minutos pois precisava dormir.
ACT_6_3.7,"The 'comfort' was just a formality,","O ‘conforto’ era apenas uma formalidade,"
ACT_6_3.8,there were many times that I didn't even perform them.,houveram muitas vezes que eu nem mesmo o praticava.
ACT_6_4.1,"'You know,","'Sabe,"
ACT_6_4.2,"I have been with one of your men, and just by listening to them one could tell that they had created a myth about how long you can last,'","eu já estive com um de seus homens, e só de ouvi-los era possível dizer que eles criaram um minuto sobre quanto tempo você dura,’"
ACT_6_4.3,"it was then that she finally removed that cigarette and created a small smoke ring in the air,",foi então que ela finalmente removeu o cigarro e soprou um pequeno anel de fumaça no ar.
ACT_6_4.4,'I am surprised none of the other girls have spilled the truth about you.',"'Estou surpresa de que nenhuma das outras garotas tenha revelado a verdade sobre você,’"
ACT_6_4.5,"'Even if they did,'","'Mesmo que tivessem,’"
ACT_6_4.6,"I collapsed my back onto the bed and she too raised her legs and crossed them,","eu deitei as coisas na cama e ela levantou as pernas e as cruzou,"
ACT_6_4.7,"'I am pretty sure they will never say it to my face. I wish one of them did, for then I can break down and just accept that there is one person I know, for whom, at least one factor of my mask that I can let crack. By the way, why are you sad for me, I'm pretty sure you do it more than I do.'","'Tenho certeza que nunca falariam isso na minha cara. Queria que uma delas falasse, pois então eu poderia colapsar e aceitar que havia uma pessoa conhecida em que ao menos um fator da minha máscara eu pudesse deixar quebrar. Por sinal, por que você está triste por mim? Tenho certeza de que você faz isso mais do que eu.’"
ACT_6_5.1,"'Yes,'","'Sim,’"
ACT_6_5.2,"she was really getting good at making smoke rings,",ela estava ficando boa em soprar anéis de fumaça.
ACT_6_5.3,"'but I am paid to care. Even though the payment comes in the form of me keeping my head intact, and not being a lab rat like Gigi was for whatever drugs they transferred here, but I-I...eh","'mas eu sou paga para me importar. Mesmo que o pagamento venha na forma de manter minha cabeça intacta, e não ser um rato de laboratório como a Gigi era para quaisquer drogas que transfiram pra cá, mas e-eu… é"
ACT_6_5.4,....ah.....,… Ah…
ACT_6_5.5,you know that one banned [i]Hindarav[/i] movie whose bootleg vhs piracy here became a national topic.,Sabe aquele filme [i]Hindarav[/i] cuja cópia pirata em VHS se tornou um tópico nacional?
ACT_6_5.6,You remember that scene where the girl...,Lembra daquela cena onde a garota…
ACT_6_5.7,"that [i]Conferri[/i] character,","aquela personagem [i]Conferri[/i],"
ACT_6_5.8,"who was just a slave to that real life [i]Hindarav[/i] general,","que era apenas uma escrava ao general [i]Hindarav[/i] da vida real,"
ACT_6_5.9,"y-yes, I think it was her...","s-sim, acho que era ela…"
ACT_6_5.10,"remember when she said to her [i]Yhafian[/i] lover,","Lembra quando ela disse a seu amado [i]Yhafaniano[/i],"
ACT_6_5.11,"the one who wished to exact revenge on her behalf against the officer who killed her brother,","aquele que desejava vingar-se em seu nome do oficial que matou seu irmão,"
ACT_6_5.12,"but the general at that point was keeping an eye on her to know locations of the rebels,","mas o general naquele momento estava de olho nela para saber a localização dos rebeldes,"
ACT_6_5.13,so all she could say during their secret meeting by the pond was...,então tudo o que ela podia dizer durante seus encontros secretos ao lado do lago era…
ACT_6_5.14,"[i]I am living in a cage, yes, but they haven’t plucked my feathers or cut my legs.[/i]","Estou vivendo em uma gaiola, sim, mas eles ainda não arrancaram minhas penas ou cortaram minhas pernas."
ACT_6_5.15,You remember that part?',Lembra dessa parte?’
ACT_6_6.1,"'I remember,","'Lembro,"
ACT_6_6.2,though I cannot remember the reason the film got banned.,mas eu não me lembro do motivo do filme ter sido banido.
ACT_6_6.3,"I mean, [i]Yhafa[/i] hates Hindaravs just like anyone else who were once in their empire. That film was made by [i]Hindarav[/i] people yes, but it was made by people who were ashamed of the history and legacy of darkness that country had left on half the world, killing and enslaving people in the name of civility.","Quero dizer, [i]Yhafa[/i] odeia os [i]Hindarav[/i] assim como qualquer outro que estivera em seu império. Aquele filme foi feito por pessoas [i]Hindarav[/i] sim, mas eram pessoas que sentiam vergonha da história e legado de escuridão que aquele país exerceu em metade do mundo, matando e escravizando pessoas em nome da civilidade."
ACT_6_6.4,I am pretty sure [i]Yhafa[/i] would've loved it.,Tenho quase certeza de que [i]Yhafa[/i] teria amado.
ACT_6_6.5,"Though, as said, I can't figure out what was the reason it got banned, was it because it showed love between a fictional [i]Yhafa[/i] freedom fighter and a fictional [i]Conferri[/i] girl, or....'","Mas, como dito, não consigo entender a razão que o fez ser banido, era porque ele mostra o amor entre um guerrilheiro [i]Yhafa[/i] fictício e uma garota [i]Conferri[/i] fictícia, ou…’"
ACT_6_6.6,"At this point she had started to run her hand through my hair, I wish I could say they were soft, but they weren't. A lot of needle marks and cut scratches had made the palm uneven.","Nessa hora ela começou a passar sua mão por meus cabelos, e eu queria poder dizer que elas eram macias, mas não eram. Muitas marcas de agulha e arranhões deixavam sua palma irregular."
