keys,en,pt_BR
DISCLAIMER_1,"Disclaimer 1: This story and the names, places, and countries mentioned in it are completely fictitious. Any resemblance to anything, any person living or dead, or any event in real life is just a co-incidence.","Aviso 1: Essa história e os nomes, lugares, e países mencionados nela não completamente fictícios. Qualquer semelhança com qualquer coisa, qual pessoa viva ou morta, ou qualquer evento da vida real são apenas coincidências."
DISCLAIMER_2,"Disclaimer 2: The following story is narrated by a character, whose views and opinions the author or anyone else in the team does not agree with. The idea with said narration is to present a story of complicated characters, whose viewpoints and POV may not be good or reliable. The purpose of this tale is not to offend any person on their sexuality, race, gender, appearance, or nationality. The sole purpose is to present a mysterious tale that may have a main character who is complicated in his views and behavior, and the same thing is with the characters around him. Still, in case of any discomfort, you are free to turn the game off, and move onto something lighter. Also, one last thing, take this or any other jam submission at your own reading pace, and try not to rush them. All the entries have something important to say or tell, and the more you soak each word in with patience, the better the experience. With these out of the way, please enjoy this short tale that we hastily put together for 2023's Nanoreno Jam. Hopefully in time to not be disqualified.","Aviso 2: A história a seguir é narrada por um personagem cujos pensamentos e opiniões o autor ou qualquer outra pessoa do time não concordam. A ideia com essa narrativa é apresentar uma história de personagens complexos, cujas ideias e perspectivas podem não ser boas ou confiáveis. O propósito desse conto não é ofender nenhuma pessoa ou sua sexualidade, raça, gênero, aparência, ou nacionalidade. O único propósito é apresentar um conto misterioso que pode ter um personagem principal complicado quanto a suas ideias e comportamento, e o mesmo com os personagens ao redor dele. Ainda assim, em caso de qualquer desconforto, você tem a liberdade de desligar o jogo, e ir para alguma outra coisa mais leve. E também, uma última coisa, jogue essa história ou qualquer outra participante da jam no seu próprio ritmo de leitura, e tente não correr com nenhuma. Todas as histórias têm algo importante para contar ou dizer, e quando mais você absorver cada palavra com paciência, melhor será a experiência. Dito isso, por favor aproveite esse curto conto feito às pressas para a Nanoreno Jam 2023. Com sorte a tempo de não sermos desqualificados."
DISCLAIMER_3,"Disclaimer 3: In case you are a Let's Player/Streamer somehow finding this very obscure piece of game and then having to find themselves narrate to your audience, speaking all of the words bit-by-bit in your lovely voice. Well, then all I can say is....stay hydrated.","Aviso 3: Caso você seja um Let's Player/Streamer que de algum modo encontrou esse jogo muito obscuro e então tenha que narrá-lo à sua audiência, falando todas as palavras com sua adorável voz. Bem, então tudo o que eu posso dizer é... Hidrate-se."
ACT_1_TITLE,ACT ONE: A Stressful Day,ATO UM: Um Dia Estressante
ACT_1_1.1,"Oh, hello!","Oh, olá!"
ACT_1_1.2,Good to see you here.,Que bom te ver aqui.
ACT_1_1.3,Please stay for a while in our great nation of [i]Yhafa[/i].,"Por favor, fique um pouco na nossa grande nação de [i]Yhafa[/i]."
ACT_1_1.4,"I can ensure you that it is a beautiful country,","Posso te garantir que é um país lindo,"
ACT_1_1.5,"filled with rich country music that pledges our loyalty towards the motherland,","cheio de música popular rica que jura lealdade à pátria mãe,"
ACT_1_1.6,with grasses that sway with the ever colder winds of our mountains,com grama que se agita com o sempre gélido vento de nossas montanhas
ACT_1_1.7,"and working people with ever widening smiles on their faces,","e pessoas trabalhadores com sorrisos sempre amplos em seus rostos,"
ACT_1_1.8,living in a nation that stands at the height of prosperity in major areas of human development ...,vivendo em uma nação no ápice da prosperidade em diversas áreas do desenvolvimento humano...
ACT_1_1.9,"like filmmaking, agriculture exports, lithium mines, ethnic unification, weapons research & development, and worshiping by economic leaders from other countries ...","como criação de filmes, exportação agrícola, mineração de lítio, unificação ética, pesquisa & desenvolvimento de armas, e adoração de líderes econômicos de outros países..."
ACT_1_1.10,and soon enough I ensure you that we will be a global superpower....,e logo eu posso te garantir que seremos uma superpotência global...
ACT_1_2.1,"Well, I might be getting ahead of myself right now,","Bem, eu posso estar me apressando no momento,"
ACT_1_2.2,sorry for that.,desculpe-me por isso.
ACT_1_2.3,"You are new to my country,","Você acabou de chegar ao meu país,"
ACT_1_2.4,and so you might take some time to adapt.,então pode precisar de um tempo para se adaptar.
ACT_1_2.5,"Anyway,","De qualquer modo,"
ACT_1_2.6,"it is nice to meet you,","é um prazer te conhecer,"
ACT_1_2.7,my name is....,meu nome é...
ACT_1_3.1,Ronan Isidro.,Ronan Isidro.
ACT_1_4.1,"I am the Head Clerk and Head Communication manager of the second division of the unit, Terra-3.","Sou o Escrivão Chefe e gerente Chefe de Comunicação da segunda divisão da unidade, Terra-3."
ACT_1_4.2,"Terra-3 is very important for the [i]Yhafa[/i] army, as we are the backbone of all communications between many-a-sectors of the military.","Terra-3 é muito importante para o exército de [i]Yhafa[/i], pois somos os responsáveis por toda a comunicação entre muitos setores militares."
ACT_1_4.3,"Therefore, I am responsible for many high rank communications that are carried out between the higher ups at the military of [i]Yhafa[/i] and the brave soldiers working on the ground.","Portanto, eu sou responsável por muitas comunicações de alto nível que são transmitidas entre os superiores militares de [i]Yhafa[/i] e os bravos soldados trabalhando no campo."
ACT_1_5.1,"I am a passionate patriot, as everyone should be.","Sou um patriota apaixonado, assim como todos deveriam ser."
