keys,en,pt_BR
ACT_3_TITLE,ACT THREE: A Woman Named Kaede,ATO TRÊS: Uma Mulher Chamada Kaede
ACT_3_1.1,Tick.,Tique.
ACT_3_1.2,Tock.,Taque.
ACT_3_1.3,Tick.,Tique.
ACT_3_1.4,Tock.,Taque.
ACT_3_1.5,"The clock on the wall was ticking, my body felt sweaty, my joints felt jamming, and my heart was racing at twice the speed than it needed to.","O relógio na parede fazia barulho, meu corpo estava suado, minhas juntas estavam travadas, e meu coração batia no dobro da velocidade que precisava."
ACT_3_1.6,"Needless to say, sleep wasn't coming to me, and in my half wakefulness, where my eyes remained ever close but my mind and body remained awake, I felt a terrible scent fill the air.","Obviamente, eu não conseguia dormir, e no meu estado semi-desperto, onde meus olhos continuavam fechados mas minha mente e corpo continuavam acordados, eu senti um cheiro horrível no ar."
ACT_3_1.7,Thoughts came in and went by quickly.,Pensamentos surgiram e sumiram muito rápido.
ACT_3_1.8,"Thoughts of everything and anything,","Pensamentos sobre tudo e todos,"
ACT_3_1.9,"thoughts that did not have a menial size of a connective tissue,","pensamentos que possuíam nenhum resquício de tecido conectivo,"
ACT_3_1.10,"thoughts that strained every nerve,","pensamentos que estressavam cada nervo,"
ACT_3_1.11,and stressed so far that I could feel them bulging from my skull.,e os estressavam tanto que eu podia sentí-los comprimindo meu crânio.
ACT_3_1.12,"Each fiber of my being up at the top part of my body had heated to the point it felt like it expanded beyond its area of working, and now, they were struggling for space, and pushing each other in their expansive conflict, suppressing any nerve that could not expand quicker, and in that tug of war for the space they needed to inhabit, they were trying to escape my skull, as the skull's entire establishment seemed to shake with every beat of the pulse.","Cada fibra do meu ser até a parte superior do meu corpo aqueceu-se ao ponto que pareciam terem expandido-se além de sua área de funcionamento, e agora, elas brigavam por espaço, empurrando umas às outras em seu conflito expansivo, suprimindo qualquer nervo que não se expandisse mais rápido, e nesse cabo-de-guerra pelo espaço que precisavam habitar, elas tentavam fugir do meu crânio, enquanto todo o espaço do crânio parecia vibrar a cada batida do coração."
ACT_3_1.13,"Every pulse was painful,","Cada batida era dolorosa,"
ACT_3_1.14,"very, very, painful.","muito, muito dolorosa."
ACT_3_2.1,"My body felt like it was beginning to crumble,","Meu corpo parecia estar prestes a despedaçar,"
ACT_3_2.2,"piece by piece,","pedaço a pedaço,"
ACT_3_2.3,muscle by muscle.,músculo a músculo.
ACT_3_2.4,"There was probably a small fire inside my body, for I felt like I was burning.","Provavelmente havia um pequeno incêndio dentro de mim, pois eu sentia que estava queimando."
ACT_3_2.5,That heat.,Aquele calor.
ACT_3_2.6,That maddening heat.,Aquele calor enlouquecedor.
ACT_3_2.7,"It made thousands and thousands of red swollen spots rise up inside my skin, and just like that my ever expanding brain nerves were hell determined on breaking my skull, and breaking my mind, destroying every last sense of sanity that dared to exist in the tiny space where I breathed air, these swollen spots were making it difficult to breathe.","Ele criara milhares e milhares de manchinhas vermelhas inchadas dentro da minha pele, e assim como meus neurônios em expansão estavam determinados a quebrar meu crânio, e a quebrar minha mente, destruindo cada resquício de sanidade que se atrevesse a existir naquele espaço minúsculo onde eu respirava, essas manchas inchadas dificultavam minha respiração."
ACT_3_2.8,"Whether it was the nose or the mouth, everything felt like it was jamming up, and there were more escaping outwards than going inwards.","Fosse pelo nariz ou pela boca, tudo parecia estar entupido, e havia mais ar saindo do que entrando."
ACT_3_2.9,"I felt like my whole being was getting crushed under some giant weight that I could not feel on my skin,","Eu sentia que todo o meu ser estava sendo esmagado sob um peso gigantesco que eu não podia sentir na pele,"
ACT_3_2.10,but it was there alright...,"mas ele estava ali, sem dúvida…"
ACT_3_2.11,IT.,ELE.
ACT_3_2.12,WAS.,ESTAVA.
ACT_3_2.13,THERE.,ALI.
ACT_3_3.1,CRUSHING ME.,ESMAGANDO-ME.
ACT_3_3.2,KILLING ME.,MATANDO-ME.
ACT_3_3.3,BREAKING ME.,QUEBRANDO-ME.
ACT_3_3.4,Making sure that everything that kept me alive –,Garantindo que tudo o que me mantinha vivo –
ACT_3_3.5,"sanity,","sanidade,"
ACT_3_3.6,"breath,","respiração,"
ACT_3_3.7,"moisture,","umidade,"
ACT_3_3.8,and blood –,e sangue –
ACT_3_3.9,would be squeezed out of me....,fosse espremido para fora de mim…
ACT_3_3.10,like ketchup.,como ketchup.
ACT_3_3.11,He.,He.
ACT_3_3.12,He.,He.
ACT_3_3.13,He.,He.
ACT_3_3.14,Funny!,Engraçado!
ACT_3_3.15,Funny!,Engraçado!
ACT_3_3.16,Ketchup!,Ketchup!
ACT_3_3.17,Ketchup that looks like blood.,Ketchup parece sangue.
ACT_3_3.18,The blood will be a ketchup.,O sangue será ketchup.
ACT_3_3.19,Funny!,Engraçado!
ACT_3_3.20,Funny!,Engraçado!
