keys,en,pt_BR
ACT_4_TITLE,ACT FOUR: An Illness,ACT_4_TITLE_PT
ACT_4_1.1,"My eyes were open, and they were staring at the ceiling,","Meus olhos estavam abertos, e estavam encarando o teto,"
ACT_4_1.2,something was moving around on all four.,alguma coisa estava se movendo de quatro
ACT_4_1.3,"It was black and blurry, I could not make out the shape of it, nor its volume or face.","Era preta e borrada, eu não conseguia reconhecer a forma dela, nem seu volume ou face"
ACT_4_1.4,"All I knew was that it was blurry, slower than what movements should be.","Tudo o que eu sabia é que ela era borrada, mais lenta do que movimentos deveriam ser"
ACT_4_1.5,"I remember I once saw a cartoon footage in the training camp, it was about this animation of a dragon in an army uniform, telling you how to take care of your rifle. In the end, real life and cartoon mixed, for the great leader appeared by the dragon's side, and gave his approval to the message. I remember then the projector reel had broken down, and everything in the picture was moving slowly,","Eu lembro que uma vez vi um desenho animado no campo de treinamento, era sobre uma animação de dragão em uniforme de exército, te dizendo como cuidar do seu rifle. No final, a vida real e o desenho se misturaram, pois o grande líder apareceu ao lado do dragão, e deu sua aprovação à mensagem. Eu lembro que a bobina do projetor havia quebrado, e tudo no vídeo estava se movendo devagar,"
ACT_4_1.6,very slowly.,muito devagar.
ACT_4_1.7,"It was blurry, and it was burning, and there I saw it, an unimaginable movement that was neither so slow that it felt like you were seeing just one image after another, neither as fast as a regular footage should look.","Era borrado, e estava queimando, e alí eu vi, um movimento inimaginável que não era nem lento demais para ser uma imagem após a outra, e nem rápido como um vídeo normal."
ACT_4_1.8,"It was somewhere in between, and even then, as a soldier training for war, I felt scared,","Era um meio termo, e mesmo ali, como um soldado treinando para guerra, eu fiquei com medo,"
ACT_4_1.9,really scared.,muito medo.
ACT_4_1.10,"I remember, I didn't sleep for three nights straight, and then collapsed during the run.","Eu lembro, eu não durmi por três noites seguidas, e então desmaiei durante uma corrida."
ACT_4_1.11,"I was in the infirmary for two days, and during that entire time, I was afraid...really, really, afraid to open my eyes.","Eu fiquei na enfermaria por dois dias, e durante todo esse tempo, eu estava com medo... Muito, muito medo de abrir meus olhos."
ACT_4_1.12,"For I fear that whenever I would do so, that figure would blur in front of me, and it would soon grow and expand, until it would engulf me, and I would be consumed","Pois eu temia que se eu o fizesse, aquela figura se borraria na minha frente, e ela logo cresceria e se expandiria, até me engolir, e eu seria consumido"
ACT_4_1.13,into unknown darkness...,por uma escuridão desconhecida...
ACT_4_2.1,"It didn't happen then,","Não aconteceu naquela época,"
ACT_4_2.2,"for I woke up normally one day, forgetting what I was even scared about.","Pois eu acordei normalmente um dia, esquecendo-me do que eu estava com medo."
ACT_4_2.3,"I was a good soldier liked by every person who trained with me, and so many vouched for me. That was the closest I ever felt that I would never serve my nation,","Eu era um bom soldado apreciado por todos que treinavam comigo, e muitos ficaram ao meu lado. Aquilo foi o mais próximo que eu já senti de que eu nunca serviria minha nação,"
ACT_4_2.4,"except for that, I made sure to never let any sign of weakness show.","exceto por aquilo, eu garanti que nunca mostrasse nenhum sinal de fraqueza."
ACT_4_2.5,"I had that in me, and I should've had a subconscious that should be able to fight this fear.","Aquilo era parte de mim, e eu deveria ter um subconsciente capaz de lutar contra esse medo."
ACT_4_2.6,It should be in my nature.,Deveria estar em minha natureza.
ACT_4_2.7,And yet...,E mesmo assim...
ACT_4_3.1,"When I saw that blurry image, that black thing moving around the ceiling of my roof,","Quando eu vi aquela figura borrada, aquela coisa preta se movendo no teto do meu quarto,"
ACT_4_3.2,I wanted to cry.,Eu quis chorar.
ACT_4_3.3,I wanted to beg.,Eu quis implorar.
ACT_4_3.4,"I wanted to scream for it to not expand, to not engulf me, and let me live.","Eu quis gritar para ela não se expandir, não me engolir, e me deixar viver."
ACT_4_3.5,"I wanted to bargain with it, wanted to give it anything that it desired, but it felt like the only thing it wanted was....","Eu quis barganhar com ela, queria dá-la tudo o que ela desejasse, mas parecia que tudo o que ela queria era...."
ACT_4_4.1,...my life.,...minha vida.
ACT_4_5.1,"'Ack....' I was finally able to move my body, and with a blink of an eye, something disappeared from my sight, and I woke up,","'Ack....' Eu finalmente consegui mover meu corpo, e em um piscar de olhos, algo desapareceu da minha vista, e eu acordei,'"
ACT_4_5.2,"'COFF! COFF! COFF!',","'COFF! COFF!',"
ACT_4_5.3,coughing my heart out.,Tussindo com todas as minhas forças
ACT_4_5.4,"It was still night, perhaps early morning. I did not know what time it was, things were still a little confusing for me, and my head was throbbing with the worst pain imaginable.\n\n","Ainda era noite, talvez início da manhã. Eu não sabia que horas eram, as coisas ainda estavam um pouco confusas para mim, e minha cabeça estava latejando com a pior dor imaginável.\n\n"
ACT_4_5.5,"'Take three breaths,'","'Respire fundo três vezes,'"
ACT_4_5.6,"I told myself, and then,","eu disse a mim mesmo, e então,"
ACT_4_5.7,"'Huff,' first breath,","'Huff,' primeira respiração"
ACT_4_5.8,"'Huff,' second breath,","'Huff,' segunda respiração"
ACT_4_5.9,"and 'Huff,' third breath.","e 'Huff,' terceira respiração"
ACT_4_5.10,"I leveled my lungs up and down, and then rubbing my eyes, I opened them again.\n\n","Eu nivelei meus pulmões para cima e para baixo, e então esfregando meus olhos, eu os abri novamente.\n\n"
ACT_4_5.11,"It was when I started stretching my arms to have some relaxation, that I realized that a palm that was supposed to be on top of mine, was not there.","Foi quando eu comecei a alongar meus braços para relaxar um pouco, mas então percebi que a palma que deveria estar sobre a minha, não estava lá."
ACT_4_6.1,'Kaede...','Kaede...'
ACT_4_6.2,"I turned my gaze to where she was supposed to be sleeping, and though the bed sheet had enough wrinkles to tell that something once slept there, and even struggled left and right, and that something was not here anymore.","Eu virei meu olhar para onde ela deveria estar dormindo, e apesar de o lençol estar bagunçado o suficiente para mostrar que alguém dormiu ali, e até se virou de um lado para o outro, e que algo não estava mais lá."
ACT_4_7.1,'Kaede!','Kaede!'
ACT_4_7.2,"I lightly said her name, wishing she was somewhere nearby, having just woken up to get a glass of water, or maybe...","Eu suavemente disse seu nome, desejando que ela estivesse em algum lugar próximo, tendo apenas acordado para pegar um copo d'água, ou talvez..."
ACT_4_8.1,'Kaede! My love! You in the bath?!','Kaede! Meu amor! Você tá no banheiro?!'
ACT_4_8.2,"I did not mean to scream, but I wanted to know that she was there.","Eu não quis gritar, mas queria saber se ela estava lá."
ACT_4_9.1,"I rushed over and grabbed the handle of the bathroom, and pushed it.","Eu corri até a porta e agarrei a maçaneta do banheiro, e a empurrei."
ACT_4_9.2,The bathroom door was open and Kaede was nowhere inside to be seen.,A porta do banheiro estava aberta e Kaede não estava em lugar nenhum.
ACT_4_9.3,"I checked at the sink and there was nothing to be seen there, no notices or traces of any vomit or blood drops, the marble was as clean and pristine as new fallen snow.","Eu chequei a pia e não havia nada lá, nenhum traço ou resquício de qualquer vômito ou gotas de sangue, o mármore estava limpo e imaculado como neve fresca."
ACT_4_9.4,"Oh, she had taken such good care of this place.\n\n","Ah, ela tomou conta tão bem desse lugar.\n\n"
ACT_4_9.5,'Kaede!','Kaede!'
ACT_4_9.6,"I screamed her name again and went back into the bedroom, but she was still not there.","Eu gritei seu nome novamente e voltei ao quarto, mas ela ainda não estava lá."
ACT_4_9.7,"I hoped that maybe we just missed each other, maybe she went to get a glass of water and when I was checking in the bathroom she would show up back and ask what was all the fuss about.","Eu esperava que talvez só nós tivessemos nos desencontrado, talvez ela tenha ido pegar um copo d'água e enquanto eu estava checando o banheiro ela apareceria e perguntaria que barulheira era aquela."
ACT_4_10.1,"But nothing like that was happening, she was still not present at the place she needed to be, I rushed over to the bed and sat there for a while.","Mas nada assim aconteceu, ela ainda não estava presente no lugar que precisava estar, eu corri até a cama e sentei nela por um tempo."
ACT_4_10.2,"With my legs dangling from the bed, my back straight, I started taking long breaths.","Com minhas pernas penduradas da cama, minhas costas retas, eu comecei a respirar fundo."
ACT_4_10.3,"I was panicking for no reason, for nothing.","Eu estava em pânico por razão nenhuma, por nada."
ACT_4_10.4,"I just had a bad dream and Kaede would soon show up now saying,","Eu só tive um sonho ruim e Kaede logo apareceria dizendo,"
ACT_4_10.5,'What is all the fuss about?'\n\n,'Que barulheira toda é essa?'\n\n
ACT_4_10.6,"And I would tell her,","E eu a diria,"
ACT_4_10.7,'WHERE WERE Y...','ONDE VOCÊ EST...'
ACT_4_11.1,"And I would tell her calmly,","E eu a diria calmamente,"
ACT_4_11.2,'You should tell me when you leave like that. You always gave me a heart attack thinking that you were not here.','Você deveria me contar quando sair dessa maneira. Você quase me causou um infarto pensando que você não estava aqui.'
ACT_4_12.1,"'Huff, huff, huff,'","'Huff, huff, huff,'"
ACT_4_12.2,but that point was not now.,mas esse não era o ponto agora.
ACT_4_12.3,"I was breathing heavily, my stomach and lungs both expanding and collapsing at a rapid rate, I needed Kaede to calm me down.\n\n","Eu estava respirando pesadamente, meu estômago e pulmões expandindo e colapsando rapidamente, eu precisava da Kaede para me acalmar.\n\n"
