keys,en,pt_BR
ACT_5_TITLE,ACT FIVE: A Madness,ATO CINCO: Uma Loucura
ACT_5_1.1,"After I tore apart that cursed photo, I broke everything that my fist was capable of breaking.","Após rasgar aquela foto amaldiçoada, eu quebrei tudo o que meus punhos foram capazes de quebrar."
ACT_5_1.2,"I broke the table, the ashtray, the television, the rotary phones, and every glass window I can get my hands on.","Quebrei a mesa, o cinzeiro, a televisão, os telefones rotativos, e cada janela de vidro que consegui colocar as mãos."
ACT_5_1.3,"By this time, the neighbors should've made a call, complaining of screams coming from a once respectable house, screams that may be ruining their sleep.","Por essa altura, os vizinhos já deveriam ter ligado, reclamando de gritos vindo de uma outrora respeitável casa, gritos que poderiam estar arruinando seu sono."
ACT_5_1.4,The neighbors around me were wealthy people as well:,Os vizinhos ao meu redor eram pessoas ricas também:
ACT_5_1.5,"politicians, businessmen, and the general’s press secretary surrounded our house.","políticos, empresários, e a secretária de imprensa do general rodeavam nossa casa."
ACT_5_1.6,"It was a house that made Kaede's father almost bankrupt,","Era uma casa que quase faliu o pai de Kaede,"
ACT_5_1.7,"and it was only because of my father's reputation, that my father-in-law was even able to secure the ground at half price.",e fora apenas pela reputação do meu pai que meu sogro foi capaz de adquirir o terreno por metade do preço.
ACT_5_1.8,"And now it was in ruins from top to bottom, and no police sirens were ringing.","E agora ela estava em ruínas de cima a baixo, e nenhuma sirene de polícia tocava."
ACT_5_1.9,"The screams of my agony nearly broke my own throat, and yet, for some reason, they weren't loud enough to break anyone's sleep.","Os gritos da minha agonia quase quebraram minha garganta, e ainda assim, por algum motivo, não foram altos o bastante para quebrar o sono de ninguém."
ACT_5_2.1,"I still remember that I ran around the house, breathing like a madman.","Eu ainda me lembro que corri ao redor da casa, respirando como um louco."
ACT_5_2.2,"Getting scratches all over my body, chasing voices that weren't there.","Arranhando todo o meu corpo, perseguindo vozes que não estavam lá."
ACT_5_2.3,Trying to kill figures that possessed no shape.,Tentando matar figuras que não possuíam forma.
ACT_5_2.4,"It was all fruitless, for at the end of the day it hurt me more than anything that could've even possibly shared that large space with me, and yet, there was no sight of any living being that I could hurt.","Fora tudo em vão, pois no final das contas isso machucou mais a mim do que qualquer outra coisa que poderia compartilhar aquele grande espaço comigo, e ainda assim, não havia sinal de nenhum ser vivo que eu pudesse machucar."
ACT_5_2.5,"'AAAAAAAAAAAAAAAAAA,'","'AAAAAAAAAAAAAAAAAA,'"
ACT_5_2.6,"I screamed when I broke all the mirrors of the bathroom, and cut myself further on the hand.","eu gritei quando quebrei todos os espelhos do banheiro, e cortei ainda mais minha mão."
ACT_5_2.7,"My eyes were crying at that point, there was no sight of any whiteness left in my eyes,","Meus olhos estavam chorando a essa altura, não havia mais sinal de nenhuma brancura em meus olhos,"
ACT_5_2.8,every strain of it was bleeding...,cada veia nele sangrava...
ACT_5_3.1,...everything was red.,... Tudo estava vermelho.
ACT_5_4.1,'SHUT UP! SHUT UP!','CALA A BOCA! CALA A BOCA!'
ACT_5_5.1,"'SHOW YOURSELF, WHERE ARE YOU?!'","'APAREÇA, ONDE ESTÁ VOCÊ?!'"
ACT_5_6.1,"Something suddenly whispered in my ears, and I followed that noise.","Algo subitamente sussurrou em meus ouvidos, e eu segui aquele ruído."
ACT_5_6.2,"Walking among the broken pieces of furniture with their splinters stabbing my legs, I saw a figure, just at the corner of the upper stairs bathroom.","Caminhando entre os pedaços quebrados de móveis com suas farpas perfurando minhas pernas, eu vi uma figura, logo no canto do banheiro do andar de cima."
ACT_5_7.1,"As soon as I reached the edge of that room, that figure disappeared down the stairs.","Assim que cheguei na entrada daquela sala, aquela figura desapareceu escada abaixo."
ACT_5_7.2,"My eyes could not make out that shape, but something blurry did walk by downstairs.","Meus olhos não distinguiam a forma, mas algo borrado de fato desceu as escadas."
ACT_5_7.3,"I bit my shard stabbed hand with my mouth, and wounds that were starting to heal opened up again.","Eu mordi minha mão perfurada por cacos com minha boca, e feridas que começavam a cicatrizar se abriram novamente."
ACT_5_7.4,"If I was to hurt whatever walked beneath these stairs,","Se eu fosse machucar o que quer que tenha passado por essas escadas,"
ACT_5_7.5,I was making sure that it would taste the blood that it had made me spill.,eu iria garantir que ela provaria o sangue que me fizera derramar.
ACT_5_8.1,'I SEE YOU!','ESTOU TE VENDO!'
ACT_5_9.1,"'I SEE YOU, YOU LITTLE SHIT!'","'ESTOU TE VENDO, SEU MERDINHA!'"
ACT_5_10.1,It was floating away like wind from my sight.,Ela flutuava para longe da minha vista como vendo.
ACT_5_10.2,"Now it stood at the edge of the room, and with a blink of my eye, it was gone.","Agora ela estava parada no limite da sala, e em um piscar de olhos de olhos, desapareceu."
ACT_5_10.3,"I ran where it stood before, and yet, turned my head left and saw nothing.","Eu corri para onde ela estava parada antes, e ainda assim, virei a cabeça para a esquerda e não vi nada."
ACT_5_10.4,'WHERE ARE YOU?!','CADÊ VOCÊ?!'
ACT_5_10.5,I screamed at the top of my lungs and punched the wall near me.,Eu gritei a plenos pulmões e soquei a parede próxima de mim.
ACT_5_10.6,"I was not letting this fucker get away from me, it would pay what it had done, and I was going to make sure that it suffered when it paid.","Eu não iria deixar esse filho da puta fugir de mim, ele pagaria pelo que tinha feito, e eu garantiria que ele sofreria quando pagasse."
ACT_5_10.7,"I will make sure that whoever he ever loved, and whomever he ever even touched would die with the same suffering that thing caused me.","Vou me certificar de que quem quer que ele tenha amado, e quem quer que ele já tenha até mesmo tocado, morreria com o mesmo sofrimento que aquela coisa me causara."
ACT_5_10.8,I was not letting it get away from my sight.,Eu não deixaria ela sair da minha vista.
ACT_5_11.1,"I was staring at the direction that noise came from, and yet I cannot make out a figure.","Eu encarava a direção de onde o barulho viera, mas mesmo assim não consegui identificar a figura."
ACT_5_12.1,"I turned my head around, and it was there, standing just right at the end of the hallway.","Eu virei a cabeça ao redor, e ela estava lá, de pé bem no fim do corredor."
ACT_5_12.2,"I still cannot make out its face, but I could tell, oh I could tell that he was taking pleasure in my misery.","Eu ainda não conseguia identificar seu rosto, mas eu podia afirmar, oh eu podia afirmar, que ele estava se deliciando com minha miséria."
ACT_5_12.3,LAUGHING!,RINDO!
ACT_5_12.4,SMILING!,SORRINDO!
ACT_5_12.5,I would like to see how that thing smiled when I ripped its skin apart in two.,Eu gostaria de ver como aquela coisa sorriria quando eu rasgasse sua pele em dois.
ACT_5_12.6,I would like to hear its scream...,Eu gostaria de ouvir seus gritos...
ACT_5_12.7,HA.,HA.
ACT_5_12.8,HA....,HA...
ACT_5_12.9,I WOULD LIKE TO HEAR ITS SCREAM WHEN I TORE ITS THROAT WITH MY BARE TEETH.,EU GOSTARIA DE OUVIR DEUS GRITOS QUANDO EU ARRANCAR SUA GARGANTA COM MEUS DENTES.
ACT_5_13.1,'GET BACK HERE YOU...','VOLTE AQUI SEU...'
ACT_5_14.1,The lights flickered and that figure disappeared.,As luzes piscaram e aquela figura desapareceu.
ACT_5_14.2,"'No, no, no,'","'Não, não, não,'"
ACT_5_14.3,"I punched the wall again, and the shard deepened in my knuckles.","eu soquei a parede novamente, e os cacos afundaram na minha mãe."
ACT_5_14.4,"The wound opened further, and as my hand was up in the air trying to grab whatever was nearby to destroy or mutilate, that blood trickled all the way up my arm and almost covered my shoulder,","A ferida abriu-se ainda mais, e enquanto minha mão estava erguida tentando agarrar o que quer que estivesse próximo para destruir ou mutilar, o sangue escorreu até o meu braço e quase cobriu meu ombro,"
ACT_5_14.5,until I let my arms down.,até eu abaixar os braços.
ACT_5_15.1,'COFF! COFF!','COFF! COFF!'
ACT_5_15.2,"My lungs contracted, and staring down at the ground,","Meus pulmões contraíram, e olhando para o chão,"
ACT_5_15.3,I violently started coughing out whatever was inside my body.,eu violentamente comecei a tossir para fora o que quer que estivesse dentro do meu corpo.
ACT_5_16.1,And inside my body were shards and shards of glass covered in blood.,E dentro de mim havia cacos e lascas de vidro cobertos de sangue.
ACT_5_16.2,All of them reflecting red.,Todos eles refletindo vermelho.
ACT_5_16.3,"My red eyes looked pleasant in them, for then I was able to create a certain disbelief that my eyes were normal,","Meus olhos vermelhos pareciam agradáveis neles, pois eu conseguia criar uma certa descrença de que meus olhos estavam normais,"
ACT_5_16.4,that I was still sane....,que eu ainda estava são...
ACT_5_16.5,that was the wrong disbelief to have as I found out not just a minute later.,"Aquela era a descrença errada para se ter, como eu descobri menos de um minuto depois."
ACT_5_17.1,"'AAAAAAAAAAAAAA',","'AAAAAAAAAAAAAA',"
ACT_5_17.2,"The scream escaped me with a splatter of blood,","O grito escapou de mim com uma borrifada de sangue,"
ACT_5_17.3,"'AAAAAAAAAAAAAAAAAAAAAA',","'AAAAAAAAAAAAAAAAAAAAAA',"
ACT_5_17.4,"it almost felt like my chest was tearing in two, I could already feel the layers of and layers of tangled nerves snapping and unfolding.","quase parecia que meu peito estava se rasgando em dois, eu já podia sentir as camadas e camadas de nervos emaranhados se partindo e desdobrando."
